item,doc,source,summary,coherence,consistency,fluency,relevance
11,3,"Linear inverse problems are ubiquitous across many imaging domains, pervading areas such as astronomy , medical imaging , and seismology . In these problems the goal is to reconstruct an unknown image from observed measurements of the form: (1) where with is a linear operator that degrades the clean image , and the additive noise is drawn from a known distribution. In this work, we assume the noise follows . Due to the under-constrained nature of such problems, they are typically ill-posed, i.e., there are an infinite number of undesirable images that fit to the observed measurements. Hence, one requires further structural information about the underlying images, which constitutes our prior. With the advent of large generative models , there has been a surge of interest in exploiting generative models as priors to solve inverse problems. Given a pretrained generator to sample from a distribution or grant access to image probabilities, one can solve a variety of inverse problems in a task- or forward model-agnostic fashion, without the need for large-scale supervision . This has been successfully done for a variety of models, including implicit generators such as Generative Adversarial Networks (GANs) and Variational Autoencoders (VAEs) , invertible generators such as Normalizing Flows , and more recently Diffusion models . A recent paradigm in generative modeling , based on the concept of flow matching , has made significant strides in scaling ODE-based generators to high-resolution images. Flow matching models map a simple base distribution, such as a Gaussian, to a complex, high-dimensional data distribution by defining a flow field that represents the transformation between these distributions. These generative models have demonstrated scalability to high dimensions, forming the backbone of several state-of-the-art generative models . Moreover, flow matching models follow straighter and more direct probability paths compared to diffusion models, allowing for more efficient and faster sampling . Additionally, due to their invertibility, flow matching models provide direct access to image likelihoods through the instantaneous change-of-variables formula . Given these advantages and the relatively recent application of these models to inverse problems , we investigate their use as image priors in this work. Leveraging knowledge about the corruption process and a natural image prior , the Bayesian approach suggests analyzing the image reconstruction posterior to solve the inverse problem . A proven and effective method based on this approach is maximum-a-posteriori (MAP) estimation , which maximizes the posterior to identify the image most likely to match the observed measurements: argmin x ∈ ℝ n − log p ( x | y ) = argmin x ∈ ℝ n − log p ( y | x ) − log p ( x ) . \displaystyle\mathop{\mathrm{argmin}}_{x\in\mathbb{R}^{n}}-\log p(x|y)=\mathop{\mathrm{argmin}}_{x\in\mathbb{R}^{n}}-\log p(y|x)-\log p(x). (2) MAP estimation provides a single, most probable point estimate of the posterior distribution, making it simple and interpretable. This deterministic approach ensures consistency and reproducibility, which are essential in applications requiring reliable outcomes, particularly in compressed sensing tasks such as Computed Tomography (CT) and Magnetic Resonance Imaging (MRI) . While posterior sampling methods can offer diverse reconstructions to quantify uncertainty, they can be prohibitively slow in high-dimensions . Hence, in this work, we propose to integrate flow priors to solve linear inverse problems by MAP estimation. A significant challenge in employing flow priors for MAP estimation lies in the slow computation of the image probabilities, as it requires backpropagating through an ODE solver . In this work, we show how one can address this challenge via Iterative Corrupted Trajectory Matching (ICTM), a novel algorithm to approximate the MAP solution in a computaionally efficient manner. In particular, we show how one can approximately find an MAP solution by sequentially optimizing a novel simpler, auxillary objective that approximates the true MAP objective in the limit of infinite function evaluations. For finite evaluations, we demonstrate that this approximation is sufficient to optimize by showcasing strong empirical performance for flow priors across a variety of linear inverse problems.","Linear inverse problems are ubiquitous across many imaging domains, pervading areas such as astronomy , medical imaging , and seismology . In these problems the goal is to reconstruct an unknown image from observed measurements of the form: (1) where with is a linear operator that degrades the clean image , and the additive noise is drawn from a known distribution. In this work, we assume the noise follows .",,,,
12,3,(same as above),"Linear inverse problems are ubiquitous across many imaging domains, pervading areas such as astronomy, medical imaging, and seismology . In these problems the goal is to reconstruct an unknown image from observed measurements of the form: (1) where with is a linear operator that degrades the clean image, and the additive noise is drawn from",,,,
13,3,(same as above),"Linear inverse problems are ubiquitous across many imaging domains, pervading areas such as astronomy, medical imaging and seismology. With the advent of large generative models, there has been a surge of interest in exploiting these models as priors to solve inverse problems. A proven and effective method based on this approach is maximum-a-posteriori (MAP) estimation.",,,,
14,3,(same as above),"In these problems the goal is to reconstruct an unknown image from observed measurements of the form: (1) where with is a linear operator that degrades the clean image , and the additive noise is drawn from a known distribution. With the advent of large generative models , there has been a surge of interest in exploiting generative models as priors to solve inverse problems. Given these advantages and the relatively recent application of these models to inverse problems , we investigate their use as image priors in this work.",,,,
15,3,(same as above),"Linear inverse problems are ubiquitous across many imaging domains, including astronomy, medical imaging and seismology . In these problems the goal is to reconstruct",,,,
16,4,"Time series forecasting is a relevant problem with vast real-world applications. Increasingly, deep neural networks are emerging as effective alternatives to well-established approaches such as ARIMA or exponential smoothing . Neural architectures such as NHITS , N-BEATS , or ES-RNN , have recently exhibited state-of-the-art forecasting performance in benchmark datasets and competitions. It is widely accepted that deep neural networks demand substantial data volumes to achieve effective generalization . However, time series datasets often present data scarcity challenges, either having a limited number of time series or containing series with few observations. In effect, a sufficiently large dataset may not be readily available for training deep learning models. In such data-scarce scenarios, synthetic time series generation techniques can be used to increase the sample size. Various data generation methods have been developed for time series, ranging from simple approaches such as jittering to more sophisticated techniques involving pattern mixing (averaging multiple time series) or generative models . This work addresses univariate time series forecasting problems with datasets containing multiple time series. In these problems, data augmentation processes have been shown to improve forecasting performance of recurrent-based neural networks . In forecasting problems, data augmentation is typically conducted offline before training a model (e.g. ). A synthetic dataset is created and combined with the original data, leading to an augmented training set. This augmented dataset is larger and more diverse, thereby improving the performance of models. However, offline data augmentation has limitations. When training with mini-batches, some batches may contain a disproportionate number of synthetic samples that do not align well with the original data characteristics, potentially misleading the learning process. Additionally, storing and loading a large augmented dataset in memory can be computationally demanding. To address these limitations, we propose an online data augmentation framework that generates synthetic samples during training. This approach fits naturally with the iterative nature of neural network training, where parameters are updated using mini-batches of data. By creating synthetic samples for each batch alongside their original counterparts, we maintain a balanced representation between real and synthetic data throughout the training process. This balanced representation helps prevent the model from overfitting spurious patterns created during the augmentation process, thereby improving forecasting accuracy. The framework is agnostic to both the augmentation method and neural network architecture, making it widely applicable. Moreover, this approach eliminates the need to store a large augmented dataset by generating synthetic samples online. While online data augmentation has been explored in speech recognition and computer vision problems , time series forecasting presents unique challenges due to its temporal nature and the need to preserve complex patterns such as trends and seasonality. Our work is, to our knowledge, the first application of online data augmentation in this context, demonstrating its effectiveness for forecasting tasks. We validate the proposed method using 3797 time series from 6 benchmark datasets. The results of the experiments suggest that online data augmentation leads to better forecasting performance relative to several offline data augmentation variants or training models without augmentation. In summary, the contributions of this work are the following: • A novel framework for online data augmentation for training univariate time series forecasting models using deep learning; • An empirical study comparing the proposed framework across three neural architectures (MLP , NHITS , and KAN ), seven synthetic data generation techniques (from simple transformations to sophisticated pattern mixing approaches), and different training strategies including offline and online data augmentation approaches. A novel framework for online data augmentation for training univariate time series forecasting models using deep learning; An empirical study comparing the proposed framework across three neural architectures (MLP , NHITS , and KAN ), seven synthetic data generation techniques (from simple transformations to sophisticated pattern mixing approaches), and different training strategies including offline and online data augmentation approaches. All methods are implemented using the neuralforecast Python library, which is based on PyTorch.","Time series forecasting is a relevant problem with vast real-world applications. Increasingly, deep neural networks are emerging as effective alternatives to well-established approaches such as ARIMA or exponential smoothing . Neural architectures such as NHITS , N-BEATS , or ES-RNN , have recently exhibited state-of-the-art forecasting performance in benchmark datasets and competitions.",,,,
17,4,(same as above),"While online data augmentation has been explored in speech recognition and computer vision problems , time series forecasting presents unique challenges due to its temporal nature and the need to preserve complex patterns such as trends and seasonality. In summary, the contributions of this work are the following: • A novel framework for online data augmentation for training univariate time series forecasting models using deep learning; • An empirical study comparing the proposed framework across three neural architectures (MLP , NHITS , and KAN ), seven synthetic data generation techniques (from simple transformations to sophisticated pattern mixing approaches), and different training strategies including offline and online data augmentation approaches. A novel framework for online data augmentation for training univariate time series forecasting models using deep learning; An empirical study comparing the proposed framework across three neural architectures (MLP , NHITS , and KAN ), seven synthetic data generation techniques (from simple transformations to sophisticated pattern mixing approaches), and different training strategies including offline and online data augmentation approaches.",,,,
18,4,(same as above),"Time series forecasting is a relevant problem with vast real-world applications. Data augmentation processes have been shown to improve forecasting performance of recurrent-based neural networks. We propose an online data augmentation framework that generates synthetic samples during training. This approach fits naturally with the iterative nature of neural network training, where parameters are updated using mini-batches.",,,,
19,4,(same as above),"Deep neural networks are emerging as effective alternatives to well-established approaches such as ARIMA or exponential smoothing . In forecasting problems, data augmentation is typically conducted offline before training a model . A synthetic dataset is created and combined with the original data, leading to an augmented training set . This augmented dataset is larger and more diverse",,,,
20,4,(same as above),Time series forecasting is a relevant problem with vast real-world applications . It is widely accepted that deep neural networks demand substantial data volumes to achieve,,,,
21,5,"Mathieu was born in Tournus, Saône-et-Loire. In the 1950s, Mathieu began studying to become an éducatrice spécialisée (special needs teacher) under Father Henri Bissonnier. He was one of the few priests to consider the question of religious education for young people suffering from a mental disability, and went so far as to develop a new catechism for them. At the end of her course, Father Henri asked her to work with him, a collaboration that would last for around twenty years. In 1956, Mathieu was elected President of the French Christian Association of special needs teachers, for whom she founded the magazine Educateurs spécialisés (""Special Needs Teachers""). In 1957, during a retreat at Chateauneuf de Galaure (in the Drôme region of France), where Father Finet was preaching, she met Marthe Robin, founder of the Foyers de Charité. Robin, who was paralysed and practically blind, was very close to children with disabilities and their families. She would become an advisor and friend to Mathieu, and her support was invaluable in the birth of the Office chrétien des personnes handicapées (OCH, ""Christian Foundation for Disabled People""). In 1963 Mathieu founded the OCH. The association aims to support families, encourage a response to their distress and offer them new hope, particularly through the introduction of a permanent place of welcome and financial support for Christian associations and establishments. In 1968, alongside the lectures and meetings, Marie-Hélène Mathieu created Ombres et Lumière (Shadows and Light), the OCH magazine aimed at people with disabilities, their families and friends. That same year, faced with the suffering of the parents of two children with serious disabilities who had felt marginalised at Lourdes, she launched a remarkable pilgrimage to Lourdes with Jean Vanier for people with mental disabilities and their families and friends. At Easter 1971, this pilgrimage gathered together 12,000 people from 15 countries, including 400 people with a mental disability. From this extraordinary gathering, the international movement of Faith and Light was born, a movement which today numbers more than 1,508 communities in 80 countries. In addition to OCH and Faith and Light, Mathieu was involved in creating the Simon de Cyrène Foundation for people who have suffered a severe head injury. She is also one of the founders of Relais Lumière Espérance, which is aimed at close friends and relatives of people suffering from mental illness, as well as the Groupe de liaison Saint Joseph, which twice a year brings together around twenty organisations working to found and support Christian homes for adults with mental disabilities. In the same spirit, the Pierre-François Jamet working and communion group, which she launched with Xavier Le Pichon , enables around thirty small communities to meet, and supports them in their care for people suffering from psychological distress. Mathieu was appointed by Pope John-Paul II to the Pontifical Council for the Laity (1984 – 1989) and as an expert for the Holy See at the Council of Europe. She is the first woman to have given a Lent address at Notre-Dame de Paris (in 1988). Pope Benedict XVI appointed her auditor to the synod on the Eucharist (2005). When I was a child there was a girl in my class called Alice, who was very marginalised. One day when we had been particularly cruel and she was crying, I sensed the suffering behind her sorrowful face. I would have liked to have consoled her.... Or one day to console other people like her in their distress. Alice unwittingly guided me towards a school for special needs teachers. Through my studies I was able to meet Father Bissonnier, the pioneer of a new form of catechism adapted to people with disabilities. My work with him helped me discover, beyond appearances, the uniqueness of the individual, who is loved by God and called to share His glory.","Mathieu was born in Tournus, Saône-et-Loire, France, in the 1950s . She was a",,,,
22,5,(same as above),"Mathieu was born in Tournus, Saône-et-Loire, France, in the 1950s . In 1956, Mathieu was elected President of the French Christian Association of special needs teachers . She founded the magazine Educateurs spécialisés (Special Needs Teachers) In 1963 Mathieu founded the OCH",,,,
23,5,(same as above),"Marie-Hélène Mathieu was born in Tournus, Saône-et-Loire. In the 1950s she began studying to become a special needs teacher. In 1963 she founded the Office chrétien des personnes handicapées. In 1971 she launched a pilgrimage to Lourdes for people with mental disabilities.",,,,
24,5,(same as above),"Mathieu was born in Tournus, Saône-et-Loire. In the 1950s, Mathieu began studying to become an éducatrice spécialisée (special needs teacher) under Father Henri Bissonnier. He was one of the few priests to consider the question of religious education for young people suffering from a mental disability, and went so far as to develop a new catechism for them.",,,,
25,5,(same as above),"She would become an advisor and friend to Mathieu, and her support was invaluable in the birth of the Office chrétien des personnes handicapées (OCH, ""Christian Foundation for Disabled People""). That same year, faced with the suffering of the parents of two children with serious disabilities who had felt marginalised at Lourdes, she launched a remarkable pilgrimage to Lourdes with Jean Vanier for people with mental disabilities and their families and friends. She is also one of the founders of Relais Lumière Espérance, which is aimed at close friends and relatives of people suffering from mental illness, as well as the Groupe de liaison Saint Joseph, which twice a year brings together around twenty organisations working to found and support Christian homes for adults with mental disabilities.",,,,
26,6,"The importance of alphabet size has recently come to the forefront of the sequence design research community . The foundation and theoretical development on the research of signaling alphabets have been done long ago in 1952 . The authors found that the Shannon capacity (C), which is given by where is the bandwidth of the channel, is the signal power, and is the noise power, cannot be achieved without using a flexible choice of alphabets in the data bits. For binary channels, the channel capacity is given by where is the probability of error of a data bit. To elaborate more, the authors showed that for an alphabet with , one can achieve a rate higher than , where with a suitable choice of alphabet. The analogous argument also holds true for non-binary channels. The corresponding value of for non-binary channel is given by where is the number of digits used to construct a letter of the alphabet, and the probability of error of each digit is set to be . In fact, considering an additive white Gaussian noise (AWGN)-channel , the authors in have explicitly constructed different alphabets, which produces good efficiency plot of information-rate vs. signal-to-noise ratio (SNR) or probability of error. There are two notions of alphabets in information theory. The one we have already discussed is the set of data symbols to be transmitted via the wireless channel through proper encoding. The second notion that fits in the sequence design aspect is related to the construction of sequences for spread-spectrum communications. For spreading sequences, the number of digits, which was for the first case, is known as alphabet size, and we distinguish it with the notation ( is a natural number). In spread spectrum systems, such as multi-carrier code division multiple access (MC-CDMA), the data is modulated according to the spreading sequence before transmission. The alphabet size plays the role of making the sequence elements uni-modular, explicitly saying, -th roots of unity. The use of spreading sequences started with the famous Golay complementary pair (GCP) , which shows the ideal aperiodic auto-correlation function (AACF) sum property. Ever since its discovery, it has been widely used in modern telecommunication systems, as the AACF property is suitable for interference-free signal detection in radar , reduction of peak-to-mean envelope power ratio (PMEPR) in orthogonal frequency division multiplexing (OFDM) system , etc. But, as there are practical limits on how many such Golay sequences can be obtained, Tseng and Liu proposed the concept of the Golay complementary set (GCS), which holds the same ideal AACF sum property but with more than sequences . Till date, there have been many constructions of GCSs of variable lengths and alphabet sizes, both with direct methods, i.e., function-based, and indirect methods, i.e., initial sequence-based. The direct methods can be found in , and the indirect ones in . The problem with these direct constructions is that they are mostly even-phased, except . Although offers more flexibility in the alphabet size for the sequence elements, it depends on the GCS length. Considering these limitations, in this paper, we propose a function-based direct construction of GCSs with the length and alphabet size chosen arbitrarily and independently. The rest of the paper is organized as follows: Section II describes the useful definitions and tools for the construction. The main construction is proposed in Section III. The conclusion is drawn in Section IV.","The importance of alphabet size has recently come to the forefront of the sequence design community. For an alphabet with , one can achieve a rate higher than , where with a suitable choice of alphabet. In spread spectrum systems, such as multi-carrier code division multiple access (MC-CDMA), the data is modulated according to the spreading sequence.",,,,
27,6,(same as above),"The importance of alphabet size has recently come to the forefront of the sequence design community . The foundation and theoretical development on the research of signaling alphabets have been done long ago in 1952 . The authors found that the Shannon capacity (C) is the signal power, and is the noise power, cannot be achieved without using a flexible",,,,
28,6,(same as above),"The Shannon capacity (C) is the signal power, and is the noise power . For binary channels, the channel capacity is given by where",,,,
29,6,(same as above),"The authors found that the Shannon capacity (C), which is given by where is the bandwidth of the channel, is the signal power, and is the noise power, cannot be achieved without using a flexible choice of alphabets in the data bits. The corresponding value of for non-binary channel is given by where is the number of digits used to construct a letter of the alphabet, and the probability of error of each digit is set to be . For spreading sequences, the number of digits, which was for the first case, is known as alphabet size, and we distinguish it with the notation ( is a natural number).",,,,
30,6,(same as above),"The importance of alphabet size has recently come to the forefront of the sequence design research community . The foundation and theoretical development on the research of signaling alphabets have been done long ago in 1952 . The authors found that the Shannon capacity (C), which is given by where is the bandwidth of the channel, is the signal power, and is the noise power, cannot be achieved without using a flexible choice of alphabets in the data bits.",,,,
31,7,"The company started with the children of brass musician and German-born Johannes 'John' (1834–10 July 1880) and his English-born wife Sarah Wirth: John James. He died 16 April 1894, aged 35, at Burghersdorf, South Africa, where the company was performing; Harry, who could do a double somersault over a row of fixed bayonets. Harry died 19 July 1896, aged 36 while near Hong Kong on the SS Kwang Lee, from sunstroke. He left a wife and three children; Philip Peter Jacob (26 June 1864 – 29 August 1937, aged 73), ringmaster, acrobat, animal trainer, musician. He married twice, and had seven children. Wirth built a two-storey Federation mansion, Ocean View in 1915 at Coogee, NSW; George (30 July 1867 – 16 October 1941, aged 74), ringmaster, acrobat, animal trainer, musician. He married Margaret Bain, but had no children, and retired from the circus in 1930 having built Margworth from 1926, a £30,000 waterfront mansion with ballroom beside Carthona in Darling Point (sold 1935 to Oliver Triggs); Mary Elizabeth Victoria 'Marizles' (1868–1948, aged 80), an equestrienne, remembered as the 'Grant old Lady of the Circus', who died in New York on 31 March 1948; Mina; and Madeline. The parents had arrived in Australia in 1855, worked as itinerant musicians, including with Ashton's Circus. Commencing as a small travelling band of the Wirth family members, getting their first tent and performing under canvas in Sydney in 1880, they had formed a small circus by 1882. Established in Ballarat, the brothers first provincial tour commenced from Ararat in 1885, and Adelaide their first capital. Shortly after, the circus went to Nouméa. Their bitter rivals were the FitzGerald Brothers Circus, although this subsided in 1906 of the death of the FitzGerald brothers: Dan (1859–Saturday 3 February 1906, aged 45) and Tom (died on Friday 27 April 1906, aged 40). At this time, the Wirths acquired the FitzGeralds' circus. Philip Wirth's children, Eileen, Doris, Madelaine, Phillip, George, and Marizles 'Rillie' (died 1988), continued to run the circus until its closure in May 1963. Although the Bullen Brothers circus competition started impacting the family operation, the decline of the circus was principally attributed to rising transport costs and the introduction of television. With the Australian banking crisis of 1893, the Wirths went on a seven-year overseas tour. While giving a performance in October 1895 at Mount Video, Uruguay, the Politeama Theatre burnt down and was completely destroyed. Returning to South Africa, they found the Second Boer War in progress, but made their neutrality clear; but on one occasion, the circus train narrowly missed demolition as the Boers were about to blow a bridge over the Modder River. While Philip Wirth was a ringmaster standing 6 feet (1.8 m) tall and weighing 14 stone (200 lb; 89 kg), he was also an expert horse trainer. In 1893 in South Africa, he trained a gnu to ride on the back of a horse, and broke and trained six zebras, which according to Wirth, The Bible allegedly said to be the only animal that could not be trained. When in South America in 1895, he trained two wild mustangs to waltz together. In another instance, a pony would enter the ring dressed as a woman, undress, put on a nightgown, blow out a candle and get into bed; teaching all done without cruelty, but patience and some sugar. With an extending family and adopting family members, the troupe undertook significant world tours additional to travelling extensively by horse-drawn wagon and special trains around Australia. In 1901 May Wirth (1894–1978) became the adopted daughter of Mary, to become ""greatest bareback riding star"". She later was inducted in 1963 into the Circus Hall of Fame. Renown wrestler Buttan Singh performed with the company in the early 1900s, billed as one of the 'champion Hindu wrestlers of Australia'. The 1903 programme, in a tent that held 400 people comfortably, with electric light, included: wild animal performance by Mons.","The Wirths started with the children of brass musician and German-born Johannes 'John' (1834–10 July 1880) and his English-born wife Sarah Wirth: John James . He left a wife and three children; Philip Peter Jacob (26 June 1864 – 29 August 1937, aged 73), ringmaster",,,,
32,7,(same as above),"The company started with the children of brass musician and German-born Johannes 'John' (1834–10 July 1880) and his English-born wife Sarah Wirth: John James. He died 16 April 1894, aged 35, at Burghersdorf, South Africa, where the company was performing; Harry, who could do a double somersault over a row of fixed bayonets. Harry died 19 July 1896, aged 36 while near Hong Kong on the SS Kwang Lee, from sunstroke.",,,,
33,7,(same as above),"He married Margaret Bain, but had no children, and retired from the circus in 1930 having built Margworth from 1926, a £30,000 waterfront mansion with ballroom beside Carthona in Darling Point (sold 1935 to Oliver Triggs); Mary Elizabeth Victoria 'Marizles' (1868–1948, aged 80), an equestrienne, remembered as the 'Grant old Lady of the Circus', who died in New York on 31 March 1948; Mina; and Madeline. Commencing as a small travelling band of the Wirth family members, getting their first tent and performing under canvas in Sydney in 1880, they had formed a small circus by 1882. In 1893 in South Africa, he trained a gnu to ride on the back of a horse, and broke and trained six zebras, which according to Wirth, The Bible allegedly said to be the only animal that could not be trained.",,,,
34,7,(same as above),The Wirths started with the children of brass musician and German-born Johannes 'John' and his English-born wife Sarah Wirth,,,,
