item,doc_id,model_id,source_type
92,arxiv-2401.15113,distilbart_weak,arxiv
93,arxiv-2401.15113,distilbart_cnn_6_6,arxiv
94,arxiv-2401.15113,lead3,arxiv
95,arxiv-2401.15113,bart_large_cnn,arxiv
96,arxiv-2402.08851,textrank,arxiv
97,arxiv-2402.08851,distilbart_cnn_6_6,arxiv
98,arxiv-2402.08851,lead3,arxiv
99,arxiv-2402.08851,distilbart_weak,arxiv
100,arxiv-2402.08851,bart_large_cnn,arxiv
101,wiki-3390336,distilbart_weak,wikipedia
102,wiki-3390336,textrank,wikipedia
103,wiki-3390336,lead3,wikipedia
104,wiki-3390336,bart_large_cnn,wikipedia
105,wiki-3390336,distilbart_cnn_6_6,wikipedia
106,arxiv-2403.08425,lead3,arxiv
107,arxiv-2403.08425,distilbart_weak,arxiv
108,arxiv-2403.08425,bart_large_cnn,arxiv
109,arxiv-2403.08425,distilbart_cnn_6_6,arxiv
110,arxiv-2403.08425,textrank,arxiv
111,wiki-79605953,textrank,wikipedia
112,wiki-79605953,bart_large_cnn,wikipedia
113,wiki-79605953,distilbart_weak,wikipedia
114,wiki-79605953,distilbart_cnn_6_6,wikipedia
115,wiki-79605953,lead3,wikipedia
116,arxiv-2404.17276,lead3,arxiv
117,arxiv-2404.17276,textrank,arxiv
118,arxiv-2404.17276,distilbart_cnn_6_6,arxiv
119,arxiv-2404.17276,bart_large_cnn,arxiv
120,arxiv-2404.17276,distilbart_weak,arxiv
121,wiki-76442516,bart_large_cnn,wikipedia
122,wiki-76442516,textrank,wikipedia
123,wiki-76442516,distilbart_cnn_6_6,wikipedia
124,wiki-76442516,lead3,wikipedia
125,wiki-76442516,distilbart_weak,wikipedia
126,arxiv-2402.10050,distilbart_cnn_6_6,arxiv
127,arxiv-2402.10050,lead3,arxiv
128,arxiv-2402.10050,textrank,arxiv
129,arxiv-2402.10050,distilbart_weak,arxiv
130,arxiv-2402.10050,bart_large_cnn,arxiv
131,wiki-15562226,bart_large_cnn,wikipedia
132,wiki-15562226,distilbart_cnn_6_6,wikipedia
133,wiki-15562226,distilbart_weak,wikipedia
134,wiki-15562226,lead3,wikipedia
135,wiki-15562226,textrank,wikipedia
136,arxiv-2312.01837,textrank,arxiv
137,arxiv-2312.01837,distilbart_weak,arxiv
138,arxiv-2312.01837,lead3,arxiv
139,arxiv-2312.01837,distilbart_cnn_6_6,arxiv
140,arxiv-2312.01837,bart_large_cnn,arxiv
141,wiki-28329803,bart_large_cnn,wikipedia
142,wiki-28329803,textrank,wikipedia
143,wiki-28329803,distilbart_weak,wikipedia
144,wiki-28329803,lead3,wikipedia
145,wiki-28329803,distilbart_cnn_6_6,wikipedia
146,arxiv-2312.04070,lead3,arxiv
147,arxiv-2312.04070,textrank,arxiv
148,arxiv-2312.04070,bart_large_cnn,arxiv
149,arxiv-2312.04070,distilbart_cnn_6_6,arxiv
150,arxiv-2312.04070,distilbart_weak,arxiv
